Id;ItemId;BorrowedById;LendById;LendDate;ExpectedReturnDate;ActualReturnDate;IsActive;AffiliatedContractNumber
1;52;37;34;2026-01-21;2026-01-23;2026-01-25;false;BV-2026-0124
2;84;4;8;2026-01-31;2026-02-05;2026-02-05;false;BV-2026-0131
3;31;13;34;2026-02-03;2026-02-08;2026-02-05;false;BV-2026-0124
4;111;27;34;2026-02-08;2026-02-22;2026-02-19;false;WA-2026-0071
5;71;38;34;2026-02-22;2026-03-04;2026-03-04;false;
6;33;1;8;2026-02-23;2026-02-28;2026-03-05;false;
7;28;20;34;2026-03-05;2026-03-19;2026-03-19;false;BV-2026-0124
8;30;21;34;2026-03-10;2026-03-15;2026-03-15;false;BV-2026-0131
9;92;32;8;2026-03-13;2026-03-16;2026-03-14;false;BV-2026-0145
10;6;37;8;2026-03-14;2026-03-21;2026-03-21;false;
11;110;9;34;2026-03-16;2026-03-30;2026-03-30;false;
12;29;15;8;2026-03-18;2026-03-23;2026-03-25;false;BV-2026-0152
13;80;13;8;2026-03-21;2026-03-28;2026-03-27;false;BV-2026-0152
14;36;36;8;2026-03-22;2026-03-27;2026-04-01;false;BV-2026-0124
15;118;26;34;2026-04-07;2026-04-10;2026-04-11;false;BV-2026-0138
16;11;4;8;2026-04-11;2026-04-18;2026-04-18;false;BV-2026-0124
17;120;7;34;2026-04-11;2026-04-14;2026-04-14;false;BV-2026-0124
18;22;39;8;2026-04-27;2026-05-11;2026-05-12;false;BV-2026-0131
19;22;33;8;2026-05-21;2026-06-04;2026-06-04;false;BV-2026-0145
20;112;38;34;2026-05-27;2026-06-10;2026-06-10;false;BV-2026-0138
21;107;39;8;2026-06-15;2026-06-18;2026-06-19;false;BV-2026-0145
22;20;28;34;2026-06-17;2026-07-01;2026-06-30;false;WA-2026-0071
23;102;38;34;2026-06-19;2026-06-24;2026-06-22;false;BV-2026-0124
24;71;18;8;2026-06-21;2026-07-01;2026-07-02;false;BV-2026-0124
25;113;24;8;2026-06-25;2026-07-09;2026-07-07;false;
26;50;17;8;2026-06-25;2026-06-27;2026-06-29;false;BV-2026-0117
27;48;6;8;2026-07-07;2026-07-12;2026-07-11;false;BV-2026-0138
28;76;6;8;2026-07-09;2026-07-19;2026-07-17;false;BV-2026-0152
29;71;6;8;2026-07-27;2026-08-06;2026-08-07;false;BV-2026-0145
30;50;36;8;2026-08-11;2026-08-13;2026-08-13;false;
31;4;11;34;2026-08-13;2026-08-20;;true;BV-2026-0138
32;15;33;34;2026-08-15;2026-08-18;;true;BV-2026-0138
33;98;9;8;2026-08-15;2026-08-18;;true;WA-2026-0063
34;36;25;34;2026-08-16;2026-08-21;2026-08-21;false;WA-2026-0063
35;37;32;8;2026-08-18;2026-08-23;;true;BV-2026-0124
36;33;4;34;2026-08-22;2026-08-27;;true;BV-2026-0152
37;107;9;8;2026-08-23;2026-08-26;2026-08-28;false;BV-2026-0138
38;84;15;34;2026-08-29;2026-09-03;;true;BV-2026-0131
39;78;30;8;2026-09-05;2026-09-15;;true;BV-2026-0145
40;12;32;8;2026-09-06;2026-09-13;;true;BV-2026-0124
41;67;31;8;2026-09-06;2026-09-16;;true;BV-2026-0117
42;14;39;8;2026-09-07;2026-09-14;;true;BV-2026-0124
43;89;18;8;2026-09-09;2026-09-14;;true;WA-2026-0063
44;72;36;34;2026-09-09;2026-09-19;;true;BV-2026-0138
45;5;28;8;2026-09-09;2026-09-16;;true;BV-2026-0131
46;30;27;8;2026-09-10;2026-09-15;;true;WA-2026-0063
47;19;19;34;2026-09-10;2026-09-13;;true;BV-2026-0145
48;56;30;34;2026-09-10;2026-09-12;;true;BV-2026-0131
49;29;15;34;2026-09-10;2026-09-15;;true;BV-2026-0138
50;31;4;8;2026-09-10;2026-09-15;;true;BV-2026-0152
51;74;4;8;2026-09-10;2026-09-20;;true;WA-2026-0071
52;118;37;8;2026-09-11;2026-09-14;;true;BV-2026-0117
53;80;37;8;2026-09-11;2026-09-18;;true;BV-2026-0131
